Country,PWT Code,WDI Code,pop75,pop09,gpop,k1975,k2009,kpw1975,kpw2009,hc1975,hc2009,rgdpwk1975,rgdpwk2009,rgdpch1950,rgdpch1955,rgdpch1960,rgdpch1965,rgdpch1970,rgdpch1975,rgdpch1980,rgdpch1985,rgdpch1990,rgdpch1995,rgdpch2000,rgdpch2005,rgdpch2006,rgdpch2007,rgdpch2008,rgdpch2009,gy7509,prodgrowth,ki1975,ki2009,meanki,natsav09,grodomsav75,grodomsav09,govsp75,govsp09,privcap75,privcap09,fdi75,fdi09,imports75,imports09,trade75,trade09,openfrac,tradetax09,martax09,migration10,labfor75,labfor09,labpop75,labpop09,indgdp75,indgdp09,agrigdp75,agrigdp09,aggdpperagworker09,percemployagr10,natcap00,mindep09,endep09,fordep09,co2emm07,tfr75,tfr09,infmor09,malaria94,malariaecology,calories07,lifeex75,lifeex09,agedep75,agedep09,avgsch75,avgsch2010,secsch09,collegeadultpop2010,compcollegeadultpop2010,avgyrsfemaleed,testscores09,intuser09,tele09,cells09,comp05,gini75,gini09,topincsh09,botincsh09,laborshare,ethnicfractionalization,rulelaw2009,corrcon09,polrights10,instability,soccapability,thrift,obedience,perseverance,faith,techvstrad,trust,work,wellbeing,africa,asia,westerneurope,latitude,area,popden60,# missing values,,Growth rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,GAB,GAB,647436,1515000,2.50,1.77E+10,57843385846,57406.92,79184.09,1.50,2.52,31886.9633,21912.811,,,4518.43,6833.46,8959.63,15159.63,13086.65,11851.05,10906.95,11280.79,11046.38,10301.45,9875.48,10303.53,10506.71,10283.92,-1.14,-2.43,49.13,29.86,31.22,53.98,64.29,47.29,12.22,11.63,,,,0.30,47.90,33.31,97.43,85.50,,, 50   ,5000,307802.6,711006,47.54,46.93,62.28,53.79,6.40,5.06,878.0,25.72,514,0.050951779,29.10,0.00,1.43,5.02,3.24,51.5,100.00,17.03,2730,50.51,60.87,72.5,68.0,1.4,7.5,,12.2,7.8,8.4,,6.70,1.80,93.11,32.52,59.27,41.45,47.93,6.07,,0.77,-0.46,-0.92,6,-0.12,-0.83,,,,,,,,,1,,,-0.65,255991,0.0189,18,,2.302751769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gambia, The",GMB,GMB,570020,1713000,3.24,5.61E+08,4224779334,2130.81,5493.31,1.14,1.62,2017.851215,3277.356308,,,958.06,947.78,879.98,932.00,844.46,850.73,846.20,777.98,802.01,1155.71,1163.25,1325.09,1426.72,1464.73,1.33,-0.20,3.90,26.41,15.22,10.66,9.64,6.25,,15.94,,5.38,,5.38,43.61,50.13,88.32,80.57,0.71,,,14944,263279.9,765581,46.19,44.69,9.66,15.47,34.75,27.45,126.0,75.96,1799,0,0.00,0.96,0.24,6.35,4.97,78.4,100.00,20.59,2345,43.42,56.24,78.2,82.2,0.5,2.8,,1.9,1.2,2.0,,7.63,2.87,84.04,15.57,,47.28,52.84,4.79,,0.79,-0.43,-0.56,5,-0.26,,,,,,,,,,1,,,13.46,10014,0.3520,20,,1.69256618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,GEO,GEO,4897656,4616000,-0.17,,39395071647,,16111.57,,,,10332.06475,,,,,,,,,,1977.94,2955.48,3820.34,4327.80,4712.04,5210.64,5051.30,,,,7.95,,-7.39,,-7.37,,24.37,,6.25,,6.13,,49.02,,78.54,0.11,0.73,,-249999,,2256741,,48.89,,21.37,,9.60,1173.7,15.07,4445,0,0.15,0.00,1.38,2.50,1.58,26,0.00,0.01,2813,68.68,71.68,58.4,45.3,,,108.5,,,,,30.51,14.55,66.59,42.50,,41.34,47.15,5.32,,0.49,-0.17,-0.23,4,0.99,,29.30,22.00,26.70,67.80,35.90,18.10,3.5,57.4,,,,42.18,72279,,38,,0.870113065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,GER,DEU,78700000,81800000,0.11,,7.40E+12,,174912.49,2.35,3.07,41169.47557,62762.13262,,,,,16237.19,18047.61,21416.37,22609.49,26165.11,28290.53,30950.09,31611.50,32661.36,33643.63,34077.59,32488.16,1.73,,21.15,18.16,20.75,21.30,21.07,21.44,21.11,19.70,-0.66,-4.46,0.15,1.18,20.30,35.89,38.88,76.72,1.00,, 45   ,550000,3.45E+07,42342912,43.84,51.76,42.08,26.47,3.13,0.81,16549.6,1.57,1336,0.000450734,0.11,0.00,9.57,1.45,1.36,3.5,0.00,0.00,3530,71.39,79.94,57.1,51.0,5.3,12.2,,19.3,12.8,11.9,516.5,79.54,59.48,128.24,545.35,,28.31,36.88,8.52,,0.17,1.63,1.70,1,-0.86,,48.50,15.90,64.60,9.40,57.50,36.80,3,66.2,,,1,51.00,349898,,12,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghana,GHA,GHA,10100000,23900000,2.53,4.44E+10,82361937124,11414.11,7500.93,1.73,2.35,2246.968185,2704.31388,,544.44,603.04,565.40,938.89,865.79,807.03,803.22,843.90,844.00,887.05,1045.10,1088.40,1144.00,1211.87,1239.17,1.05,0.36,41.58,31.92,27.61,-7.61,13.66,8.73,13.03,9.59,2.52,6.24,2.52,6.44,18.43,41.35,37.78,71.85,0.71,15.89, 25   ,-51258,3891675,10951408,38.53,45.82,23.40,18.86,53.11,31.67,190.5,53.81,4554,4.77987052,0.00,2.08,0.43,6.82,3.91,46.7,100.00,25.95,2849,51.19,56.82,95.5,72.5,2.8,7.1,57.2,1.7,1.1,4.8,,5.44,1.12,63.38,5.17,,42.76,48.31,5.20,,0.67,-0.11,0.06,1,-0.16,,19.60,81.70,43.30,72.60,,8.50,,,1,,,7.94,235516,0.2945,8,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,GRC,GRC,9046542,10700000,0.49,3.76E+11,8.05E+11,114994.61,163324.66,2.41,3.06,42151.03188,56169.10001,,4904.59,6181.45,8949.13,12296.65,15250.98,17491.45,17121.51,17825.59,18350.69,21538.91,25724.34,26931.53,27970.83,28244.60,27284.76,1.71,0.03,29.78,19.28,22.24,6.80,21.89,5.56,12.90,19.13,,11.92,0.09,0.73,24.77,29.26,41.55,47.91,1.00,0.00, 40   ,150000,3273197,5197643,36.18,48.58,30.58,17.54,13.17,3.11,4849.9,9.54,640,0.038252526,0.14,0.00,8.76,2.37,1.52,2.8,0.00,0.03,3700,73.16,80.19,56.5,48.0,6.3,10.5,,24.2,22.4,10.2,468.0,44.05,52.56,117.83,89.14,35.11,34.266,41.49,6.75,0.79,0.16,0.64,0.12,1,0.06,1.47,29.90,10.80,54.30,38.80,,23.70,,63.8,,,,39.16,105140,,5,,1.480678482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,GRD,GRD,95819,107000,0.32,,7813135146,,,,,,,,,,,2836.08,2999.87,4573.36,5654.75,8991.47,8307.43,11417.17,12647.04,12476.34,12910.61,12885.03,12025.85,4.08,,19.00,49.59,50.58,3.68,,-6.64,,19.33,,14.14,,14.51,,56.65,,83.49,,,,-5000,,,,,,18.39,,6.48,,,2971,0,0.00,,2.34,4.44,2.26,12.8,,,,64.61,75.49,95.3,53.4,,,99.1,,,,,24.05,27.52,61.58,151.30,,,,,,,0.13,0.36,1,-0.46,,,,,,,,,,,,,12.12,,,54,,3.076530009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,GTM,GTM,5910462,13300000,2.39,4.50E+10,1.54E+11,21729.58,29705.42,1.43,1.96,13800.2695,15327.36498,2822.55,2692.25,2986.78,3279.67,4048.16,4838.57,5742.63,4910.96,4749.94,5055.45,5452.01,5629.12,5809.29,6043.56,6121.56,6284.59,0.77,-0.62,16.51,13.82,16.61,5.11,14.28,3.30,6.87,10.28,,1.20,,1.61,23.53,33.13,45.26,56.50,0.34,6.96, 31   ,-200000,2072290,5453325,35.06,41.00,18.49,28.46,28.05,12.37,936.8,42.11,,0,0.44,0.79,0.97,6.20,4.02,32.6,15.37,0.74,2171,55.14,70.56,91.2,86.1,1.6,4.1,,2.9,2.2,3.6,,16.25,10.08,123.39,18.79,49.72,53.69,57.83,3.44,,0.51,-1.12,-0.60,4,0.73,0.35,38.60,46.50,23.00,58.70,,15.70,,,,,,15.74,108418,0.3674,9,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,GIN,GIN,4018826,10100000,2.71,5.37E+09,22048715603,2765.25,4532.05,,,1781.801067,1721.251885,,,977.34,970.66,801.05,860.99,878.56,826.93,860.96,831.59,756.36,870.05,859.48,833.62,815.50,826.54,-0.12,,10.89,38.69,17.51,30.91,,16.85,,7.97,,3.43,,1.21,,45.45,,86.16,0.40,,,-300000,1941957,4849994,48.32,48.02,,52.99,,17.17,151.1,79.78,1858,3.655836667,0.00,2.92,0.14,6.88,5.33,87.8,100.00,21.01,2529,41.15,58.34,86.1,85.3,4.9,,37.0,,,,,0.94,0.22,55.69,4.78,,39.35,46.21,6.35,,0.74,-1.61,-1.23,7,1.90,,,,,,,,,,1,,,10.40,253825,0.1276,31,,1.529754924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea-Bissau,GNB,GNB,680919,1534000,2.39,8.29E+08,1950798168,2895.55,3100.90,,,1143.091879,1900.339794,,,344.06,389.99,300.03,480.63,378.72,464.92,425.82,586.96,453.41,793.62,794.89,791.56,806.37,818.34,1.57,,15.02,17.50,21.00,9.96,-5.36,,22.89,,,,-0.12,1.67,25.95,,31.13,,0.37,,,-12317,286301.4,660582,42.05,43.06,25.36,,47.77,,119.2,79.36,10301,0,0.00,0.00,0.19,6.94,5.66,115.2,100.00,19.61,2288,38.45,48.18,79.6,85.5,,,,,,,,2.30,0.30,34.79,,,35.52,43.00,7.23,,0.81,-1.38,-1.12,4,0.49,,,,,,,,,,1,,,12.08,28226,0.1936,34,,-0.341435642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,GUY,GUY,767977,753000,-0.06,,11118080426,,33053.71,2.15,2.58,8405.467731,9591.371866,,,,,2018.88,2625.10,2316.05,1421.94,1436.85,2141.80,3307.17,3760.63,3696.70,4026.05,4147.41,4338.50,1.48,,63.87,26.17,41.71,1.93,33.04,2.03,19.61,16.17,,,,7.12,74.91,,149.79,,0.34,,,-40000,239846.2,340607,31.23,45.23,34.34,34.30,31.11,20.57,1546.8,14.85,793,3.36923606,0.00,0.00,1.97,4.38,2.30,28.9,67.78,3.17,2753,60.37,67.59,91.7,55.5,,8.0,103.4,5.9,3.8,7.8,,28.85,17.05,,38.60,,,,,,,-0.59,-0.54,2,0.53,,,,,,,,,,,,,4.74,209805,0.0289,32,,1.784022754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haiti,HTI,HTI,4826993,9778000,2.08,1.00E+10,19601917016,4822.30,4504.41,1.30,1.94,4130.403857,3163.19504,,,1887.87,1774.74,1662.91,1776.21,2386.16,2067.99,1796.18,1529.62,1516.56,1358.82,1358.34,1383.23,1403.34,1444.44,-0.61,-1.51,9.80,10.47,10.32,-10.79,,-2.29,,,,0.59,,0.59,,43.91,,58.12,,,,-140000,2075771,4465034,43.00,45.66,,,,,,58.74,3005,,,,0.25,5.64,3.42,63.7,0.00,0.18,1848,49.00,61.44,82.3,68.6,1.2,4.9,,1.0,0.8,2.9,,9.97,1.08,36.36,,,59.5,62.97,2.53,,,-1.34,-1.12,4,0.87,,,,,,,,,,,,,18.98,25683,,35,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,HND,HND,2857540,7834000,2.97,1.54E+10,73779572989,15987.03,25109.19,1.57,2.53,8511.195973,10085.96076,2364.54,1934.77,2235.43,2301.59,2356.11,2859.82,3250.69,3177.44,3112.74,2959.45,3005.84,3310.18,3444.44,3627.78,3691.88,3605.30,0.68,-0.88,17.84,19.56,22.02,5.73,9.96,0.96,12.37,18.90,0.62,3.88,0.62,3.49,39.68,60.77,70.37,102.87,0.26,3.37,,-100000,960153.3,2800321,33.60,35.75,24.91,27.15,27.33,12.46,660.8,26.52,,0.3889378,0.00,0.00,1.23,6.84,3.19,25,100.00,1.02,2601,55.70,72.41,102.7,71.4,2.1,6.5,,6.3,4.0,6.3,,9.80,11.12,103.32,15.61,,57.66,60.76,2.02,,0.19,-0.87,-0.89,4,0.27,0.26,,,,,,,,,,,,14.84,113208,0.1729,14,,-0.544886015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,HKG,HKG,4395800,7055000,1.39,1.02E+11,8.76E+11,52164.71,235260.57,2.28,2.79,31294.01039,,,3339.60,5907.12,7032.33,8803.67,13865.65,16328.65,22621.04,27102.68,28531.39,33086.70,35376.91,37370.56,37838.53,36289.98,,,,31.86,28.95,33.88,31.16,28.55,29.73,7.05,8.75,,-25.88,,24.88,77.84,186.67,161.28,380.49,1.00,,,113392,1947677,3697451,44.31,52.41,,,,,,,4947,0,0.00,0.00,5.77,2.67,1.04,,0.00,,,73.37,82.72,55.7,32.8,5.7,10.0,82.1,16.1,7.2,9.7,552.0,61.40,59.80,174.29,600.90,40.90,,,,0.57,0.06,1.49,1.84,5,-0.93,,1.90,2.30,6.00,1.20,,41.10,,,,1,,22.25,,30.1471,25,,0.980227253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,HUN,HUN,10500000,10000000,-0.14,,4.27E+11,,99949.60,2.55,3.12,18912.54493,38610.51696,,,,,7287.58,9341.30,10611.18,11377.71,11900.13,10861.06,13273.03,16644.50,17294.03,17487.57,17621.94,16512.55,1.68,,20.51,15.87,18.57,24.87,30.37,,10.45,,,-3.66,,2.16,48.61,,89.82,,0.29,0.00, 36   ,75000,5186166,4276697,49.39,42.77,50.29,,17.24,,4353.9,8.41,,0.007911768,0.19,0.00,5.61,2.35,1.32,5.1,0.00,0.02,3438,69.29,73.90,49.2,45.0,8.3,11.7,,13.8,12.6,11.5,496.5,61.63,30.62,117.66,146.04,21.54,31.18,39.90,8.40,,0.15,0.82,0.46,1,-0.60,,41.50,32.30,42.00,18.50,61.10,22.20,3.6,61.4,,,,47.21,95569,,19,,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,ISL,ISL,218031,307000,1.01,1.24E+10,39028024011,130379.79,206495.38,2.52,2.98,43895.85666,58005.11747,7899.71,9913.28,10500.92,13744.17,14148.79,19209.47,23820.56,25152.39,27987.54,26988.23,33481.98,39901.34,41741.21,43108.15,42507.14,37113.41,1.94,0.03,36.82,15.82,26.61,22.92,27.14,22.56,17.39,26.46,,-96.56,,0.50,41.63,44.21,74.92,97.19,,1.19, 37.2   ,19999,95413.56,196428,43.76,63.98,35.50,,11.30,,,6.38,1928,0,0.00,0.00,7.50,2.61,2.23,1.8,0.00,0.00,3330,72.05,81.46,64.5,47.7,6.9,10.4,,27.7,18.3,10.7,501.5,94.52,58.05,109.38,478.52,,,,,,0.08,1.72,2.06,1,-1.21,,20.50,17.40,29.10,10.50,,41.10,,81.2,,,1,64.92,100376,,15,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,IND,IND,619000000,1160000000,1.85,1.08E+12,8.23E+12,4732.46,17918.31,1.48,2.15,2509.906539,8212.137901,591.61,648.41,711.38,775.07,886.23,924.49,1018.27,1174.45,1407.84,1566.53,1859.07,2556.66,2760.96,3000.76,3079.30,3238.55,3.69,1.44,19.21,31.19,22.54,31.05,17.78,32.04,9.82,11.99,-0.01,2.95,-0.01,2.51,6.73,24.02,12.44,43.61,,12.57, 30   ,-1000000,2.28E+08,457459478,36.83,39.44,22.57,26.97,37.95,17.76,246.2,48.37,3472,1.059304667,2.23,0.87,1.43,5.08,2.68,50.3,66.52,0.09,2301,52.25,64.05,76.8,56.5,1.5,4.4,,5.9,3.8,3.2,,5.31,3.21,45.45,15.53,29.17,36.8,45.34,8.08,,0.42,0.05,-0.33,2,1.19,-0.28,55.70,56.20,41.00,41.50,79.50,23.30,4,66.7,,1,,22.93,3151251,1.4878,4,,2.610042512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,IDN,IDN,135000000,240000000,1.69,2.71E+11,2.46E+12,5433.73,20395.28,1.69,2.26,3353.519277,8457.706079,,,692.51,675.10,859.16,1237.08,1597.53,1848.16,2344.64,3139.57,2920.00,3446.75,3524.37,3626.18,3869.05,4075.34,3.51,0.85,26.11,22.69,29.50,29.27,26.65,33.76,9.04,9.62,,2.27,,0.90,21.02,21.33,45.03,45.45,0.86,2.10, 30   ,-730000,4.98E+07,115643697,36.89,48.18,33.47,49.09,30.18,15.76,398.1,37.33,14105,1.176626832,5.33,0.00,1.77,5.04,2.13,29.8,60.22,3.56,2535,50.95,71.18,82.0,49.2,2.6,5.8,79.5,2.5,1.6,5.1,377.0,8.70,14.77,69.25,13.89,34.60,36.76,44.93,7.64,,0.74,-0.56,-0.71,2,0.64,-0.40,47.70,53.70,41.90,91.30,,42.50,3.5,71.8,,1,,-1.66,1697375,0.5311,6,,3.141550648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iran,IRN,IRN,33300000,76000000,2.43,5.89E+11,2.29E+12,62621.03,75091.00,1.50,2.57,39073.91937,27620.66443,,2601.27,4403.94,5791.82,8955.03,11044.16,5693.10,6293.88,6055.48,6829.63,7764.58,9139.97,9604.08,10064.05,10650.67,10624.06,-0.11,-2.26,33.13,31.97,28.48,39.20,32.56,,25.77,,,,1.01,0.91,33.63,,76.77,,,6.00,,-500000,9412174,29232771,28.26,38.46,54.74,,10.01,,,21.52,,0.20079313,17.66,0.00,6.98,6.41,1.78,25.9,24.94,0.06,3042,56.56,71.69,92.4,40.7,1.5,7.3,83.1,11.1,9.5,6.2,,38.29,35.39,72.09,109.14,42.28,38.28,44.97,6.41,,0.67,-0.90,-0.83,6,1.52,,39.60,32.70,30.60,72.10,,10.60,4,60.4,,,,32.52,1614726,0.1241,17,,3.683330817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,IRQ,IRQ,11100000,28900000,2.81,,3.41E+11,,48468.38,1.38,2.16,31189.73952,17780.67105,,,,,5459.59,7103.58,10552.20,6823.91,7249.42,3294.70,4264.46,3758.14,4020.42,3944.48,4124.27,4714.76,-1.21,,13.28,24.74,20.11,25.23,,,,,,,-0.28,1.63,,,,,,,,-576999,2528068,7663186,22.78,26.52,,,,,,5.47,10534,9.24944E-05,45.72,0.00,3.34,6.99,3.93,35.4,28.13,0.16,,59.96,68.15,100.7,79.7,0.9,5.6,,9.7,6.2,4.4,,1.03,3.52,62.62,8.21,,,,,,,-1.83,-1.38,5,2.33,,31.80,73.90,21.00,90.60,,40.80,,55.2,,,,32.95,441139,,37,,1.813435506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,IRL,IRL,3177300,4580000,1.08,8.40E+10,3.80E+11,71002.75,164279.73,2.59,3.11,31507.30102,68016.11361,5848.47,6583.13,6970.00,8376.08,10215.66,11730.20,13983.00,14241.49,17400.85,20777.47,30776.17,37036.67,37893.21,39168.89,37162.82,33348.11,3.07,1.08,20.34,14.90,22.66,34.05,15.43,28.65,19.45,19.01,2.95,13.32,1.72,11.11,46.27,73.61,85.93,162.14,0.97,0.03, 46   ,200000,1182912,2245561,37.23,49.03,34.00,31.20,17.02,0.96,,6.58,3999,0.039864429,0.02,0.00,10.16,3.40,2.07,3.5,0.00,0.00,3532,71.74,79.50,73.1,46.8,8.9,11.6,,30.6,20.3,11.7,497.5,68.37,46.72,109.45,494.29,38.69,34.2768,42.05,7.44,0.73,0.12,1.71,,1,-0.98,,22.60,47.90,28.40,39.10,,35.80,,79.4,,,1,53.16,67817,,6,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,ISR,ISR,3354242,7234000,2.26,1.21E+11,4.76E+11,105088.65,159530.73,2.74,3.08,45547.88135,60194.96963,5050.51,5774.86,7093.35,9455.12,12417.19,15661.04,15181.19,15916.70,18000.44,21079.64,23198.75,23816.03,24626.53,25477.53,26079.48,25550.34,1.44,0.18,29.63,20.92,24.65,19.14,-3.42,18.82,43.41,24.16,1.81,-1.29,0.36,1.99,67.32,32.21,99.95,66.87,0.71,0.86, 46   ,85000,1153312,3070542,34.38,42.45,,,,,,1.72,4678,0.064992024,0.13,0.00,9.29,3.55,2.96,3.4,0.00,0.05,3540,72.05,81.55,68.4,60.8,8.9,11.9,,36.7,24.3,12.0,451.0,49.72,43.67,121.24,740.35,,39.1998,44.93,5.71,0.70,0.34,0.83,0.78,1,1.45,1.77,19.80,16.30,30.70,29.10,,23.50,2.6,67.3,,,,31.41,31135,1.0398,8,,3.246241643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,ITA,ITA,55600000,60500000,0.25,2.25E+12,5.64E+12,104790.70,221069.97,2.41,2.84,41578.27479,66020.89589,5348.66,6939.93,8858.11,11029.85,14372.21,16077.93,19735.37,21321.68,24951.36,26528.72,28883.26,29377.72,29917.39,30202.87,29497.52,27692.99,1.60,0.31,22.04,22.35,22.69,17.80,23.83,18.51,16.32,21.55,0.18,0.60,0.29,1.37,19.43,24.37,38.96,48.34,1.00,, 43   ,1650000,2.15E+07,25377206,38.67,41.95,38.59,25.06,7.48,1.83,13148.0,3.25,2627,2.36994E-05,0.09,0.00,7.68,2.21,1.41,3.4,0.00,0.08,3657,72.65,81.44,57.7,52.5,5.6,9.3,,10.0,6.6,8.9,486.0,48.55,35.37,150.47,366.61,39.00,36.033146,42.02,6.50,0.71,0.11,0.39,0.05,1,-0.53,,39.70,26.30,44.50,34.60,,29.20,,65.1,,,1,42.88,296127,,5,,2.649791654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamaica,JAM,JAM,2104879,2826000,0.87,4.58E+10,84312108824,52756.43,65345.88,2.15,2.86,18646.12964,20164.72752,,4377.23,5609.14,6510.19,7502.63,7693.81,6188.36,5900.07,7403.46,8046.03,8695.66,9011.84,9183.55,9228.36,9101.80,8794.72,0.39,-0.53,25.02,20.72,23.70,2.58,15.42,2.71,18.35,15.87,,1.01,,4.48,45.61,53.32,80.88,88.03,0.57,7.10, 25   ,-100000,868519.8,1232542,41.26,43.61,,22.07,,6.18,,17.51,1513,0.702659773,0.00,0.00,5.21,4.48,2.36,25.9,0.00,0.18,2848,69.51,72.06,104.2,59.1,4.7,9.6,,15.0,9.7,9.8,,58.57,11.20,110.06,62.83,44.52,45.51,51.15,5.16,0.60,0.41,-0.49,-0.44,2,0.33,,,,,6.10,,,,,,,,18.19,9037,1.5042,16,,2.353484001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan,JPN,JPN,112000000,127000000,0.37,4.77E+12,1.54E+13,89905.84,234720.93,2.74,3.21,34966.50546,57929.00666,2995.23,4161.45,5850.43,8695.67,14284.83,16577.87,19553.19,21991.02,27244.46,28730.55,29638.78,31261.20,31919.44,32665.56,31773.66,30007.69,1.75,0.23,31.85,22.94,29.87,21.79,32.88,20.67,14.45,19.74,,-5.51,,0.23,12.62,12.25,25.25,24.80,1.00,, 50   ,150000,5.31E+07,65787018,47.41,51.80,41.09,,5.41,,,2.12,931,0.001945017,0.00,0.00,9.81,1.91,1.37,2.4,0.00,0.00,2806,75.06,82.93,47.5,54.5,8.3,11.5,,36.1,23.9,11.2,534.0,77.72,34.78,90.09,541.63,34.40,,,,0.68,0.01,1.31,1.35,1,-0.95,1.63,52.70,5.20,67.80,5.60,34.00,39.10,3,73.5,,1,,36.96,358359,,10,,0.922089441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,JOR,JOR,1802960,6269000,3.67,1.57E+10,1.25E+11,37588.42,61552.96,1.81,2.71,11760.21676,15144.4882,,1603.85,2681.55,3577.45,2746.65,2729.63,4894.86,4271.37,3803.00,3975.38,3692.45,4394.62,4378.61,4409.68,4626.59,4644.48,1.56,-0.53,48.18,40.49,49.41,-9.35,,-6.68,,23.52,1.42,6.69,1.88,9.49,,64.96,,108.46,1.00,6.42,,250000,418480,1922562,23.21,30.67,23.68,31.65,7.90,2.89,754.1,6.32,,0.964947576,0.08,0.01,3.78,7.62,3.38,21.5,0.00,0.07,2977,59.03,72.94,100.2,61.6,2.7,8.6,,18.6,6.5,7.8,401.0,29.27,8.42,101.06,56.08,40.80,37.72,45.35,7.21,0.64,0.59,0.38,0.27,6,0.23,0.16,25.30,64.90,30.80,84.00,,30.90,1.6,63.9,,,,31.16,89521,0.1744,9,,3.392899055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kazakhstan,KAZ,KAZ,14200000,15400000,0.24,,3.71E+11,,44781.99,2.30,3.09,,21113.32497,,,,,,,,,,4756.92,5111.55,8935.59,10131.11,10849.68,11397.42,11730.99,,,,27.08,,42.52,,38.67,,11.66,,11.70,,11.81,,33.79,,75.80,,5.54, 10   ,-100000,,8556551,,55.56,,40.28,,6.44,1039.7,15.55,1368,1.174894574,20.83,0.00,14.67,3.27,2.60,25.6,0.00,0.01,3359,,68.43,67.5,44.6,5.2,10.4,99.5,18.3,11.8,10.3,402.5,33.36,23.68,94.38,,,30.88,39.86,8.66,,0.62,-0.56,-0.91,6,-0.64,,,,,,,,,,,,,48.19,2707851,,40,,1.127292267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,KEN,KEN,13400000,39000000,3.14,2.68E+10,80302418756,4798.64,4379.71,1.54,2.39,2497.527055,2513.710914,974.54,1026.95,1020.12,1063.04,1027.20,1040.93,1148.78,1021.24,1187.76,1128.62,1132.45,1171.86,1186.70,1233.51,1203.54,1206.07,0.43,-0.76,13.77,20.81,14.56,5.89,13.45,7.81,18.33,16.26,0.40,0.25,0.53,0.48,34.51,38.31,64.34,63.54,0.29,10.12, 30   ,-189330,5584920,18712130,41.68,47.98,20.25,15.30,34.15,22.62,161.3,70.60,,0.006287208,0.00,1.17,0.30,7.84,4.86,54.8,84.48,4.64,2060,54.96,54.89,112.3,83.3,2.0,7.0,59.5,3.2,2.0,6.2,,10.04,1.67,48.65,9.17,,47.68,52.96,4.70,,0.86,-1.07,-1.11,4,1.30,-0.53,,,,,,,,,1,,,0.42,597289,0.1464,12,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiribati,KIR,KIR,53226,98045,1.80,,2439647303,,,,,,,,,,,2800.67,5091.37,1680.13,1651.54,1604.33,1541.06,3650.91,3717.34,3740.05,3625.10,4186.97,4094.46,-0.64,,8.19,73.25,51.07,-59.41,44.59,,18.00,,,,,1.72,27.81,,95.41,,,,,,,,,,,9.54,,28.62,,,2020,0,0.00,,0.35,,,37.3,,,,,,,,,,,,,,,2.04,4.08,1.02,10.22,,,,,,,0.18,-0.11,1,-1.45,,,,,,,,,,,,,,,,63,,0.342329696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Republic of",KOR,KOR,35300000,48500000,0.93,2.28E+11,4.56E+12,18713.11,185339.88,2.48,3.22,11627.78528,49142.4498,,1726.01,1782.05,2053.08,3018.88,4018.67,5340.04,7228.41,11440.16,15802.59,18930.23,22813.38,23874.58,25066.40,25545.30,25033.62,5.38,1.48,24.57,30.57,37.05,31.63,20.15,29.84,11.21,16.02,,5.00,,0.18,35.41,45.98,62.30,95.88,0.91,3.74,,-30000,1.22E+07,24706350,34.56,50.94,29.27,36.52,27.13,2.60,10814.0,4.56,,1.77965E-05,0.00,0.00,10.38,3.47,1.28,4.5,0.00,0.00,3074,63.96,80.28,71.3,37.9,6.3,11.6,,37.1,17.3,11.0,542.0,80.91,39.57,98.35,544.92,39.10,,,,0.65,0.00,1.00,0.52,1,-0.21,0.85,73.10,13.60,45.30,21.70,62.20,28.20,3.3,65.9,,1,,36.45,91306,2.5464,9,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
